Game,TCP,UDP,
APB - Reloaded,"80, 443, 2106, 3720","3478-3479, 3722-3730, 5060, 5062, 12000-17000",
APB - Reloaded Playstation 4,"80, 443, 1935, 3478-3480",3478-3479,
APB - Reloaded Xbox One,"53, 80, 3074","53, 88, 500, 3074, 3544, 4500",
Ape Out Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Ape Out Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Apex Legends,"1024-1124, 3216, 9960-9969, 18000, 18060, 18120, 27900, 28910, 29900","1024-1124, 18000, 29900, 37000-40000",
Apex Legends Playstation 4,"1024-1124, 1935, 3216, 3478-3480, 9960-9969, 18000, 18060, 18120, 27900, 28910, 29900","1024-1124, 3074, 3478-3479, 18000, 29900, 37000-40000",
Apex Legends Xbox One,"1024-1124, 3074, 3216, 9960-9969, 18000, 18060, 18120, 27900, 28910, 29900","88, 500, 1024-1124, 3074, 3544, 4500, 18000, 29900, 37000-40000",
Apocalypse Cow,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Apocalypse Cow Xbox One,3074,"88, 500, 3074, 3544, 4500",
Apocalypse: Desire Next Xbox 360,3074,"88, 3074",
Apple Remote Desktop,"3283, 5900, 5988",3283,
Apprentice,4747,,
Aquanauts Holiday Insareta Kiroku Playstation 3,5223,"5223, 3478, 3479, 3658",
Aquatopia Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
AquaZone Xbox 360,3074,3074,
Aragami Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Aragami Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Aragami Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Aragami Xbox One,3074,"88, 500, 3074, 3544, 4500",
Arc of Alchemist Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Arc Rise Fantasia Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Arc Savior Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Arca's Path VR Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Arca's Path VR Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Arcanum,"15101, 15204, 15300, 15800, 20851, 31435",31435,
Arcanum Won.net,"15101, 15200, 15204, 15300, 15500, 15800, 20851, 26901-26999, 28901-28999, 31435",31435,
ArcheAge,"80, 1237, 1239, 1250",,
Are You Smarter Than a 5th Grader Make the Grade Xbox 360,3074,3074,
Ares,User Specified Ports,,
Ark Noir Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
ARK: Survival Evolved Playstation 4,"1935, 3478-3480","3074, 3478-3479",
ARK: Survival Evolved Steam,"25147, 27015-27030, 27036-27037","4380, 7777-7778, 25147, 27000-27031, 27036",
ARK: Survival Evolved Xbox One,3074,"88, 500, 3074, 3544, 4500",
ARK: Survival Evolved Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Arkadian Warriors Xbox 360,3074,3074,
Arkanoid Live Xbox 360,3074,3074,
Arkedo Series Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Arlo IP Camera,"80, 443","80, 443",
Arlo Baby IP Camera,"80, 443","80, 443",
Arlo Go IP Camera,"80, 443","80, 443",
Arlo Pro IP Camera,"80, 443","80, 443",
Arlo Pro 2 IP Camera,"80, 443","80, 443",
Arlo Q IP Camera,"80, 443","80, 443",
Arlo Q Plus IP Camera,"80, 443","80, 443",
Arma 2,2302-2305,,
Arma 3,2302-2305,,
ArmaGallant: Decks of Destiny Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Armello,27014-27050,"3478, 4379-4380, 27000-27031, 27036",
Armello Playstation 4,"80, 443, 1935, 3478-3480",3478-3479,
Armored Core 4 Xbox 360,3074,"88, 3074",
Armored Core 4 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Armored Core V Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Armored Core V Xbox 360,3074,"88, 3074",
Armored Core: For Answer Xbox 360,3074,"88, 3074",
Armored Core: For Answer Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Armored Core: Verdict Day Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Armored Core: Verdict Day Xbox 360,3074,"88, 3074",
Armored Fist 3,2803,,
Armored Freedom Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Armored Freedom Xbox One,3074,"88, 500, 3074, 3544, 4500",
Army of Two Playstation 3,6000,3658,
Army of Two Xbox 360,"53, 80, 3074","53, 88, 3074",
Army of Two - The Devils Cartel Xbox 360,"1000, 3074, 8001, 10000-10100, 25100-25110, 25200-25210, 42120-42130","1000, 3074, 8001, 10000-10100, 25100-25110, 25200-25210, 42120-42130",
Army of Two - The Devils Cartel Playstation 3,"5223, 3659, 8001, 10000-10100, 25100-25110, 25200-25210, 42120-42130","5223, 3478-3479, 3658-3659, 10000-10100, 25100-25110, 25200-25210, 42120-42130",
Arrow Heads,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Arrow Heads Xbox One,3074,"88, 500, 3074, 3544, 4500",
Arslan: The Warriors of Legend Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Arslan: The Warriors of Legend Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Arslan: The Warriors of Legend Xbox One,3074,"88, 500, 3074, 3544, 4500",
Arslan: The Warriors of Legend,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Art of Fighting Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Art of Fighting Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Art of Fighting Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Art of Fighting Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Art of Fighting Xbox One,3074,"88, 500, 3074, 3544, 4500",
Art of Fighting 2 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Art of Fighting 2 Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Art of Fighting 2 Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Art of Fighting 2 Xbox One,3074,"88, 500, 3074, 3544, 4500",
Art of Fighting 3: The Path of the Warrior Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Art of Fighting 3: The Path of the Warrior Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Artifact Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Artillery Cats,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Artoon Xbox 360,3074,"88, 3074",
Asante Voyager II,"80, 554","80, 554",
Asante Voyager Smartbot,"80, 554","80, 554",
Asdivine Hearts Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Asdivine Hearts Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Asdivine Hearts Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Asdivine Hearts Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Asdivine Hearts Xbox One,3074,"88, 500, 3074, 3544, 4500",
Asdivine Hearts II Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Asdivine Hearts II Xbox One,3074,"88, 500, 3074, 3544, 4500",
Asdivine Hearts II Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Asdivine Hearts II Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Asemblance Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Asemblance Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Asemblance Xbox One,3074,"88, 500, 3074, 3544, 4500",
Asemblance: Oversight Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Asemblance: Oversight Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Asemblance: Oversight Xbox One,3074,"88, 500, 3074, 3544, 4500",
Ashen Xbox One,3074,"88, 500, 3074, 3544, 4500",
Asheron's Call,9000-9013,,
Assassin's Creed Xbox 360,3074,"88, 3074",
Assassin's Creed Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Assassin's Creed Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Assassin's Creed Chronicles,"13000, 13005, 13200, 14000-14001, 14008",,
Assassin's Creed Chronicles Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Assassin's Creed Chronicles Xbox One,3074,"88, 500, 3074, 3544, 4500",
Assassin's Creed Chronicles: China,"13000, 13005, 13200, 14000-14001, 14008",,
Assassin's Creed Chronicles: China Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Assassin's Creed Chronicles: China Xbox One,3074,"88, 500, 3074, 3544, 4500",
Assassin's Creed Chronicles: India,"13000, 13005, 13200, 14000-14001, 14008",,
Assassin's Creed Chronicles: India Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Assassin's Creed Chronicles: India Xbox One,3074,"88, 500, 3074, 3544, 4500",
Assassin's Creed Chronicles: Russia,"13000, 13005, 13200, 14000-14001, 14008",,
Assassin's Creed Chronicles: Russia Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Assassin's Creed Chronicles: Russia Xbox One,3074,"88, 500, 3074, 3544, 4500",
Assassin's Creed II Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Assassin's Creed II Xbox 360,3074,"88, 3074",
Assassin's Creed II,"13000, 13005, 13200, 14000-14001, 14008",,
Assassin's Creed III Xbox 360,3074,"88, 3074",
Assassin's Creed III Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Assassin's Creed III,"13000, 13005, 13200, 14000-14001, 14008",3074,
Assassin's Creed III Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Assassin's Creed III Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Assassin's Creed III Xbox One,3074,"88, 500, 3074, 3544, 4500",
Assassin's Creed III: Liberation,"13000, 13005, 13200, 14000-14001, 14008",,
Assassin's Creed III: Liberation Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Assassin's Creed III: Liberation Xbox 360,3074,"88, 3074",
Assassin's Creed IV: Black Flag Playstation 4,"1935, 3478-3480, 3658","3074, 3478-3479, 3658, 4646",
Assassin's Creed IV: Black Flag Xbox One,3074,"88, 500, 3074, 3544, 4500",
Assassin's Creed IV: Black Flag Xbox 360,3074,"88, 3074",
Assassin's Creed IV: Black Flag Playstation 3,"3478-3480, 3658, 5223, 8080","3074, 3478-3479, 3658, 4646",
Assassin's Creed IV: Black Flag,"13000, 13005, 13200, 14000-14001, 14008","3074, 3658, 4646, 21115-21116, 21120, 21125, 21130, 21275-21276, 21280, 21285, 21290, 22050-22051, 22055, 22060",
Assassin's Creed IV: Black Flag - Freedom Cry,"13000, 13005, 13200, 14000-14001, 14008","3074, 3658, 4646, 21115-21116, 21120, 21125, 21130, 21275-21276, 21280, 21285, 21290, 22050-22051, 22055, 22060",
Assassin's Creed IV: Black Flag - Freedom Cry Playstation 3,"3478-3480, 3658, 5223, 8080","3074, 3478-3479, 3658, 4646",
Assassin's Creed IV: Black Flag - Freedom Cry Playstation 4,"1935, 3478-3480, 3658","3074, 3478-3479, 3658, 4646",
Assassin's Creed: Brotherhood Playstation 3,"3478-3480, 3658, 5223, 8080, 21300, 21305, 21310, 21315, 21320, 21325-21326","3074, 3478-3479, 3658, 21300, 21305, 21310, 21315, 21320, 21325-21326",
Assassin's Creed: Brotherhood Xbox 360,3074,"88, 3074",
Assassin's Creed: Brotherhood,"7917, 9100, 12000-12001, 13000, 13005, 13200, 14000-14001, 14008, 44301, 45301, 49928, 55674","7917, 9100, 12000-12001, 44301, 45301, 49928, 55674",
Assassin's Creed: Odyssey Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Assassin's Creed: Odyssey Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Assassin's Creed: Odyssey Xbox One,3074,"88, 500, 3074, 3544, 4500",
Assassin's Creed: Odyssey Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Assassin's Creed: Origins,"13000, 13005, 13200, 14000-14001, 14008",,
Assassin's Creed: Origins Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Assassin's Creed: Origins Xbox One,3074,"88, 500, 3074, 3544, 4500",
Assassin's Creed: Revelations,"13000, 13005, 13200, 14000-14001, 14008","3074, 7959, 14001, 21200",
Assassin's Creed: Revelations Xbox 360,3074,"88, 3074",
Assassin's Creed: Revelations Playstation 3,"3478-3480, 3658, 5223, 8080","3074, 3478-3479, 3658",
Assassin's Creed: Rogue,"13000, 13005, 13200, 14000-14001, 14008",,
Assassin's Creed: Rogue Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Assassin's Creed: Rogue Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Assassin's Creed: Rogue Xbox 360,3074,"88, 3074",
Assassin's Creed: Rogue Xbox One,3074,"88, 500, 3074, 3544, 4500",
Assassin's Creed: Syndicate,"13000, 13005, 13200, 14000-14001, 14008",,
Assassin's Creed: Syndicate Playstation 4,"1935, 3478-3480","3074, 3478-3479, 9103",
Assassin's Creed: Syndicate Xbox One,3074,"88, 500, 3074, 3544, 4500, 9103",
Assassin's Creed: Unity Xbox One,3074,"88, 500, 1000, 3074, 3544, 4500",
Assassin's Creed: Unity Playstation 4,"1935, 3478-3480","3074, 3478-3479, 3658, 4646",
Assassin's Creed: Unity,"13000, 13005, 13200, 14000-14001, 14008",3074,
Assault Heroes Xbox 360,3074,3074,
Assault Heroes 2 Xbox 360,3074,3074,
Assetto Corsa,"8081, 9600, 27015-27030, 27036-27037","8081, 9600, 4380, 27000-27031, 27036",
Assetto Corsa Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Assetto Corsa Xbox One,3074,"88, 500, 3074, 3544, 4500",
Assetto Corsa: Competizione,"8081, 9600, 27015-27030, 27036-27037","8081, 9600, 4380, 27000-27031, 27036",
Astebreed Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Astebreed Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Astebreed Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Asterix & Obelix XXL 2 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Asterix & Obelix XXL 2 Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Asterix & Obelix XXL 2 Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Asterix & Obelix XXL 2 Xbox One,3074,"88, 500, 3074, 3544, 4500",
Asterix at the Olympic Games Xbox 360,3074,"88, 3074",
Asterix at the Olympic Games Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Asteroids and Asteroids Deluxe Xbox 360,3074,3074,
Astral Chain Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Astro Bot: Rescue Mission Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Astro Boy Xbox 360,3074,3074,
Astro Boy Playstation 3,5223,"5223, 3478, 3479, 3658",
Astroman Xbox 360,3074,"88, 3074",
Astroneer,3074,"88, 500, 3074, 3544, 4500",
Astroneer Xbox One,3074,"88, 500, 3074, 3544, 4500",
Astroneer Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
AstroPop Xbox 360,3074,3074,
Asura Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Asura Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Asura's Wrath Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Asura's Wrath Xbox 360,3074,"88, 3074",
At Sundown: Shots in the Dark Playstation 4,"1935, 3478-3480","3074, 3478-3479",
At Sundown: Shots in the Dark Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
At Sundown: Shots in the Dark Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
At Sundown: Shots in the Dark Xbox One,3074,"88, 500, 3074, 3544, 4500",
Atelier Ayesha: The Alchemist of Dusk Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Atelier Escha & Logy: Alchemists of the Dusk Sky Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Atelier Firis: The Alchemist and the Mysterious Journey Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Atelier Firis: The Alchemist and the Mysterious Journey Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Atelier Lulua: The Scion of Arland Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Atelier Lulua: The Scion of Arland Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Atelier Lulua: The Scion of Arland Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Atelier Lydie & Suelle: Alchemists of the Mysterious Painting Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Atelier Lydie & Suelle: Alchemists of the Mysterious Painting Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Atelier Lydie & Suelle: Alchemists of the Mysterious Painting Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Atelier Meruru: The Apprentice of Arland Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Atelier Rorona Plus: The Alchemist of Arland Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Atelier Rorona: The Alchemist of Arland Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Atelier Shallie: Alchemists of the Dusk Sea Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Atelier Sophie: The Alchemist of the Mysterious Book Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Atelier Sophie: The Alchemist of the Mysterious Book Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Atelier Sophie: The Alchemist of the Mysterious Book Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Atelier Totori: The Adventurer of Arland Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Atlas Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Atlas Xbox One,3074,"88, 500, 3074, 3544, 4500",
Atom RPG Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Atom Zombie Smasher Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Atomega,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Atomic Society Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
ATT 3G MicroCell,443,"123, 500, 4500",
ATT Remote Monitor,80,80,
Attack of the Earthlings Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Attack of the Earthlings Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Attack of the Earthlings Xbox One,3074,"88, 500, 3074, 3544, 4500",
Attack on Titan,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Attack on Titan Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Attack on Titan Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Attack on Titan Xbox One,3074,"88, 500, 3074, 3544, 4500",
Attack on Titan 2,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Attack on Titan 2 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Attack on Titan 2 Xbox One,3074,"88, 500, 3074, 3544, 4500",
Audica Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Audiogalaxy Satellite,"1117-5190, 41000-50000",,
AudioReQuest,"22, 57, 80, 3660, 3663, 4665","22, 57, 80, 3660, 3663, 4665",
AUTO Xbox 360,3074,3074,
Auto Assault,2106,"26880, 27001-27009, 27010",
Automobilista,"34747, 40001","8766, 27016, 34597, 34697, 40002",
Avatar: The Last Airbender Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Avatar: The Last Airbender - Into the Inferno Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Avatar: The Last Airbender - The Burning Earth Xbox 360,3074,"88, 3074",
Avatar: The Last Airbender - The Burning Earth Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Avem888,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
AVer,"53, 80, 1053, 5550, 5555, 9999",,
AvertX HDIP Recorder,80,80,
Avorion,"27000, 27020-27021","27000, 27003, 27020-27021",
AVTECH KPD672,80,,
Away: Journey to the Unexpected Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Away: Journey to the Unexpected Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Away: Journey to the Unexpected Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Away: Journey to the Unexpected Xbox One,3074,"88, 500, 3074, 3544, 4500",
Awesomenauts Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Awesomenauts,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Awesomenauts Xbox 360,3074,"88, 3074",
Awesomenauts Assemble! Xbox One,3074,"88, 500, 3074, 3544, 4500",
Awesomenauts Assemble! Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Axiom Overdrive Xbox 360,3074,3074,
Axis 207MW,80,,
Axis Football 2015 Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Axis Football 2016 Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Axis Football 2017 Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Axis Football 2018 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Axis Football 2018 Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Axis Football 2018 Xbox One,3074,"88, 500, 3074, 3544, 4500",
Axis M1031-W,80,,
Axis M1054,"80, 443, 554",,
Axis P1344,80,,
Azureus,"6881, User Specified Ports",User Specified Ports,
Baba Is You,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Back to the Future: The Game Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Back to the Future: The Game Playstation 4,"1935, 3478-3480","3074, 3478-3479",
