Game,TCP,UDP,
Agony Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
AI War 2 Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
AI War: Fleet Command,32320,,
AI War: Fleet Command Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036, 32320",
AIM Talk,5190,,
AIM Video IM,"443, 1024-5000, 5190","443, 1024-5000, 5190",
Aion,"80, 2106, 7777, 10241",,
Air Cam Live,1726,,
Air Conflicts - Pacific Carriers Playstation 3,5223,"5223, 3478-3479, 3658",
Air Conflicts - Pacific Carriers Playstation 4,"80, 443, 1935, 3478-3480",3478-3479,
Air Conflicts - Pacific Carriers Xbox 360,3074,3074,
Air Conflicts - Secret Wars Playstation 3,5223,"5223, 3478-3479, 3658",
Air Conflicts - Secret Wars Xbox 360,3074,3074,
Air Conflicts - Secret Wars Playstation 4,"80, 443, 3478-3480",3478-3479,
Air Conflicts - Vietnam Playstation 3,5223,"5223, 3478-3479, 3658",
Air Conflicts - Vietnam Playstation 4,"80, 443, 1935, 3478-3480",3478-3479,
Air Conflicts - Vietnam Xbox 360,3074,3074,
Air Mail Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Air TV,1728,,
Air Video,45631,,
Air Video HD,45633,,
AirBuccaneers,25002-25004,,
Airburst Xbox 360,3074,3074,
Airheart: Tales of Broken Wings Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Airheart: Tales of Broken Wings Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Airheart: Tales of Broken Wings Xbox One,3074,"88, 500, 3074, 3544, 4500",
Airlink101 SkyIPCam777W,"80, 554",,
Akiba's Beat Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Akiba's Trip: Undead & Undressed Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Akiba's Trip: Undead & Undressed Playstation 4,"1935, 3478-3480","3074, 3478-3479",
AkrutoSync,"443, 54321",,
Akuto: Mad World,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Akuto: Mad World Xbox One,3074,"88, 500, 3074, 3544, 4500",
Alaloth: Champions of the Four Kingdoms Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Alaloth: Champions of the Four Kingdoms Xbox One,3074,"88, 500, 3074, 3544, 4500",
Alaloth: Champions of the Four Kingdoms Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Alan Wake Xbox 360,3074,3074,
Aleph One,4226,"4226, 15367",
Alien Breed Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Alien Breed 2: Assault,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Alien Breed 2: Assault Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Alien Breed 2: Assault Xbox 360,3074,"88, 3074",
Alien Breed 3: Descent,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Alien Breed 3: Descent Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Alien Breed 3: Descent Xbox 360,3074,"88, 3074",
Alien Breed: Evolution Xbox 360,3074,"88, 3074",
Alien Breed: Impact,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Alien Breed: Impact Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Alien Hominid HD Xbox 360,3074,3074,
Alien Rage,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Alien Rage Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Alien Rage Xbox 360,3074,"88, 3074",
Alienation Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Aliens versus Predator,"2300-2400, 8000-8999","2300-2400, 8000-8999",
Aliens versus Predator Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Aliens versus Predator 2,"2300-2400, 7000-10000",27888-27900,
Aliens versus Predator 2: Primal Hunt,"2300-2400, 7000-10000",27888-27900,
Aliens vs. Predator Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Aliens vs. Predator Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Aliens vs. Predator Xbox 360,3074,"88, 3074",
Aliens: Colonial Marines Xbox 360,3074,"88, 3074",
Aliens: Colonial Marines Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Aliens: Colonial Marines Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
All-Pro Football 2K8 Xbox 360,3074,3074,
All-Pro Football 2K8 Playstation 3,5223,"5223, 3478, 3479, 3658",
All.com,10000-10015,10000-10015,
Alone in the Dark (2008) Xbox 360,3074,"88, 3074",
Alone in the Dark (2008) Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Alone in the Dark (2008) Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Alpha Protocol Xbox 360,3074,"88, 3074",
Alpha Protocol Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Alvastia Chronicles Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Alvastia Chronicles Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Alvastia Chronicles Xbox One,3074,"88, 500, 3074, 3544, 4500",
Alwa's Awakening Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
